prompt,expected,result,time
How do I claim deductions for pension contributions?,Finance Agent,Finance Agent,10.820078134536743
How do I claim deduction for interest expenses?,Finance Agent,Finance Agent,7.509417533874512
How do I claim deduction for trade union fees?,Finance Agent,Finance Agent,6.975428342819214
How do I claim deduction for transport between home and work?,Finance Agent,Finance Agent,11.252179622650146
What are the rules for deductions and allowances when working?,Finance Agent,Finance Agent,6.944995164871216
How do I claim deduction for travel expenses?,Finance Agent,Finance Agent,9.848432302474976
What is the deduction for home improvement and household services?,Finance Agent,Finance Agent,13.815309762954712
What are the rules for employee benefits such as company car or free phone?,Finance Agent,Finance Agent,11.579044103622437
How do I allow third-party access to my e-tax account?,Finance Agent,Finance Agent,12.979828357696533
How do I order an e-tax password or MitID?,Finance Agent,Finance Agent,14.157887697219849
How do I access my tax assessment notice as a PDF?,Finance Agent,Finance Agent,9.203870296478271
What is B-income and how is it taxed?,Finance Agent,Finance Agent,6.8386828899383545
What are the tax rules for cross-border tax matters?,Finance Agent,Finance Agent,13.754074096679688
How do I declare non-Danish income if I live in Denmark?,Finance Agent,Finance Agent,8.297503471374512
How do I understand my payslip in Denmark?,Finance Agent,Finance Agent,8.156623601913452
How do I calculate my pay for the preliminary income assessment?,Finance Agent,Finance Agent,12.219223737716675
How do I check and change my preliminary income assessment?,Finance Agent,Finance Agent,10.135313987731934
What should I do if my income changes during the year?,Finance Agent,Finance Agent,11.36887240409851
What are the tax rules for sharing economy activities?,Finance Agent,Finance Agent,10.822000503540039
"How do I declare income from renting out my car, boat, or caravan?",Finance Agent,Finance Agent,10.307788848876953
How do I declare income from providing services for others?,Finance Agent,Finance Agent,9.998597860336304
What are the tax rules for state education grants?,Finance Agent,Finance Agent,7.373132228851318
How do I declare outstanding tax and pay it from outside Denmark?,Finance Agent,Finance Agent,6.4500412940979
What are the relevant dates for the tax assessment notice?,Finance Agent,Finance Agent,8.602439403533936
How do I see and change my previous tax assessment notices?,Finance Agent,Finance Agent,8.090662956237793
How do I get a Danish tax card?,Finance Agent,Finance Agent,5.73299503326416
What are the different types of Danish tax cards?,Finance Agent,Finance Agent,5.119221448898315
How do I pay property tax in Denmark?,Finance Agent,Finance Agent,8.295411348342896
What are the rules for buying a home or holiday home in Denmark?,Finance Agent,Finance Agent,10.035276174545288
How do I declare rental income from renting out a home or holiday home?,Finance Agent,Finance Agent,10.140387773513794
What are the rules for selling a home in Denmark?,Finance Agent,Finance Agent,7.647539138793945
How do I declare gains and losses from buying and selling shares and securities?,Finance Agent,Finance Agent,11.212539911270142
What are the tax rules for cryptocurrency in Denmark?,Finance Agent,Finance Agent,10.526437997817993
How do I declare gifts for tax purposes?,Finance Agent,Finance Agent,11.674518823623657
What is my tax liability when coming to study in Denmark?,Finance Agent,Finance Agent,7.98555064201355
What do I need to do when setting up life in Denmark?,Finance Agent,InputError,
What types of tax exist in Denmark?,Finance Agent,Finance Agent,10.90822148323059
How do I apply for exemption from Danish withholding tax when leaving Denmark?,Finance Agent,Finance Agent,6.646862506866455
What is the guide to working in Denmark as a foreigner?,Finance Agent,Finance Agent,6.349056243896484
"I have received my recommendation, Why do my savings go negative starting in 2032?",Dreamplan Agent,Dreamplan Agent,5.321817874908447
"I have received my recommendation, In my projection, my cash balance drops sharply after I retire — is that normal?",Dreamplan Agent,Dreamplan Agent,2.7658791542053223
"I have received my recommendation, Why do I have a surplus early on but a deficit later?",Dreamplan Agent,Dreamplan Agent,3.6862733364105225
"I have received my recommendation, Why does the graph show my emergency fund disappearing by 2045?",Dreamplan Agent,Dreamplan Agent,2.6322021484375
"I have received my recommendation, Why does my disposable income fall in 2038 in the forecast?",Dreamplan Agent,Dreamplan Agent,2.4876718521118164
"I have received my recommendation, Why does my net income drop so suddenly after 2050?",Dreamplan Agent,Dreamplan Agent,2.7650368213653564
"I have received my recommendation, The expenses in my plan spike in 2040 — what’s causing that?",Dreamplan Agent,Dreamplan Agent,3.073533773422241
"I have received my recommendation, Why does my income stop growing in the projection?",Dreamplan Agent,Dreamplan Agent,2.1484129428863525
"I have received my recommendation, Why is the model recommending I shift 40% into bonds?",Dreamplan Agent,Dreamplan Agent,4.476208686828613
"I have received my recommendation, Why does my asset allocation change in 2035?",Dreamplan Agent,Dreamplan Agent,4.023353338241577
"I have received my recommendation, Why did the recommendation reduce my stock allocation?",Dreamplan Agent,Dreamplan Agent,2.8650145530700684
"I have received my recommendation, Why am I seeing more conservative investments in later years?",Dreamplan Agent,Dreamplan Agent,3.8909990787506104
"I have received my recommendation, Why is my coverage ratio only 65% in retirement?",Dreamplan Agent,Dreamplan Agent,5.12551736831665
"I have received my recommendation, Why does the plan say my probability of meeting my goal is just 70%?",Dreamplan Agent,Dreamplan Agent,3.57800030708313
"I have received my recommendation, Why does my risk score change halfway through the forecast?",Dreamplan Agent,Dreamplan Agent,2.4596595764160156
"I have received my recommendation, Why am I not hitting the target wealth despite following the plan?",Dreamplan Agent,Dreamplan Agent,2.9743661880493164
"I have received my recommendation, Why does my forecast show I can't retire until 68?",Dreamplan Agent,Dreamplan Agent,3.9891490936279297
"I have received my recommendation, Why is my retirement income lower than expected?",Dreamplan Agent,Dreamplan Agent,4.607003927230835
"I have received my recommendation, Why is my plan recommending I delay retirement?",Dreamplan Agent,Dreamplan Agent,3.890002727508545
"I have received my recommendation, Why does my portfolio value drop after I retire?",Dreamplan Agent,Dreamplan Agent,3.1742563247680664
"I have received my recommendation, Can you explain how my retirement income coverage ratio is calculated?",Dreamplan Agent,Dreamplan Agent,4.815123558044434
"I have received my recommendation, What does the emergency savings recommendation mean for my finances?",Dreamplan Agent,Dreamplan Agent,3.1716883182525635
"I have received my recommendation, How will increasing my pension contributions affect my monthly disposable income?",Dreamplan Agent,Dreamplan Agent,2.357269048690796
"I have received my recommendation, What happens to my home equity if I follow the suggested mortgage plan?",Dreamplan Agent,Dreamplan Agent,3.3778021335601807
"I have received my recommendation, Why does Dreamplan recommend keeping three years of cash on hand?",Dreamplan Agent,Finance Agent,6.965133905410767
"I have received my recommendation, How does the recommended additional pension payment improve my coverage ratio?",Dreamplan Agent,Dreamplan Agent,3.5834176540374756
"I have received my recommendation, What does the term ‘coverage ratio’ mean in my retirement plan?",Dreamplan Agent,Finance Agent,5.734272718429565
"I have received my recommendation, How should I prioritize paying off debts with different APRs according to Dreamplan?",Dreamplan Agent,Finance Agent,4.3490941524505615
"I have received my recommendation, Can you clarify the difference between baseline and recommended retirement savings?",Dreamplan Agent,Dreamplan Agent,3.1233468055725098
"I have received my recommendation, What are the benefits of investing in medium-risk, long-term options suggested by Dreamplan?",Dreamplan Agent,Finance Agent,5.430423259735107
"I have received my recommendation, What does it mean to have a pension payout of 75% of my current salary?",Dreamplan Agent,Finance Agent,6.429881572723389
"I have received my recommendation, How is the home equity value at retirement calculated?",Dreamplan Agent,Finance Agent,8.701894998550415
"I have received my recommendation, What financial impact should I expect if I change my mortgage as recommended?",Dreamplan Agent,Dreamplan Agent,7.580965280532837
"I have received my recommendation, How does emergency savings protect me financially?",Dreamplan Agent,Finance Agent,7.062435865402222
"I have received my recommendation, What does ‘free value’ in housing recommendation mean?",Dreamplan Agent,Finance Agent,5.119320392608643
"I have received my recommendation, Can you explain the rationale behind paying off debts with APR over 8% immediately?",Dreamplan Agent,Finance Agent,3.3791985511779785
"I have received my recommendation, What is meant by ‘negative impact’ in Dreamplan’s financial recommendations?",Dreamplan Agent,Finance Agent,3.1477608680725098
"I have received my recommendation, How should I balance home savings with pension contributions according to Dreamplan?",Dreamplan Agent,Finance Agent,4.532452344894409
"I have received my recommendation, What does the ‘Profit Ultimo’ recommendation suggest for my investments?",Dreamplan Agent,Dreamplan Agent,3.791468858718872
"I have received my recommendation, Why does Dreamplan recommend saving a rainy-day fund?",Dreamplan Agent,Finance Agent,4.504047393798828
"I have received my recommendation, How do I know if my current retirement contributions are enough?",Dreamplan Agent,Finance Agent,2.2514071464538574
"I have received my recommendation, What happens if I don’t create the recommended emergency savings?",Dreamplan Agent,Finance Agent,3.689723491668701
"I have received my recommendation, Can you explain how my disposable income at retirement is estimated?",Dreamplan Agent,Dreamplan Agent,3.480013608932495
"I have received my recommendation, What are the advantages of saving less in my home and investing elsewhere?",Dreamplan Agent,Finance Agent,4.81380558013916
"I have received my recommendation, How does Dreamplan determine the optimal mortgage balance at retirement?",Dreamplan Agent,Finance Agent,6.143709421157837
"I have received my recommendation, What factors affect the coverage ratio for my pension?",Dreamplan Agent,Finance Agent,7.57657265663147
"I have received my recommendation, How often should I review and adjust my retirement contributions?",Dreamplan Agent,Finance Agent,7.988030433654785
"I have received my recommendation, What types of investments does Dreamplan recommend for long-term growth?",Dreamplan Agent,Finance Agent,5.2219154834747314
"I have received my recommendation, How can I improve my pension coverage ratio before retirement?",Dreamplan Agent,Finance Agent,9.728708267211914
"I have received my recommendation, What does it mean to have a total pension payment of 75% of my salary?",Dreamplan Agent,Finance Agent,11.568809509277344
"I have received my recommendation, How do transport and insurance costs typically change after retirement?",Dreamplan Agent,Finance Agent,7.885662078857422
"I have received my recommendation, Can Dreamplan help me plan for unexpected financial emergencies?",Dreamplan Agent,Finance Agent,6.756484508514404
"I have received my recommendation, How do my current debts affect my retirement plan?",Dreamplan Agent,Dreamplan Agent,4.29085898399353
"I have received my recommendation, What is the impact of different APR levels on my debt repayment strategy?",Dreamplan Agent,Finance Agent,10.35176682472229
"I have received my recommendation, How does Dreamplan’s recommendation compare with having no plan at all?",Dreamplan Agent,Dreamplan Agent,3.7902238368988037
"I have received my recommendation, Why is it important to maintain a buffer account when repaying debt?",Dreamplan Agent,Finance Agent,13.209418058395386
"I have received my recommendation, How is the recommended additional retirement contribution calculated?",Dreamplan Agent,Finance Agent,8.909020900726318
"I have received my recommendation, What is the significance of ‘free value’ in housing recommendations?",Dreamplan Agent,Finance Agent,4.404219627380371
"I have received my recommendation, How can I balance risk and returns when following Dreamplan’s investment advice?",Dreamplan Agent,Finance Agent,5.323206901550293
"I have received my recommendation, What are the tax benefits associated with pension savings recommended by Dreamplan?",Dreamplan Agent,Finance Agent,15.972343683242798
"I have received my recommendation, How does Dreamplan calculate the emergency savings amount?",Dreamplan Agent,Finance Agent,4.404904127120972
"I have received my recommendation, What happens if my home equity is lower than recommended at retirement?",Dreamplan Agent,Finance Agent,9.224008798599243
"I have received my recommendation, Can I adjust the risk level in Dreamplan’s investment recommendations?",Dreamplan Agent,Finance Agent,22.976630687713623
"I have received my recommendation, How does the coverage ratio relate to my quality of life after retirement?",Dreamplan Agent,Finance Agent,7.897475004196167
"I have received my recommendation, What should I do if my disposable income at retirement is projected to be less than my current needs?",Dreamplan Agent,Finance Agent,10.52789306640625
"I have received my recommendation, How do Dreamplan’s recommendations account for inflation?",Dreamplan Agent,Finance Agent,4.5704345703125
"I have received my recommendation, Can Dreamplan help me plan for healthcare costs in retirement?",Dreamplan Agent,Finance Agent,5.11808705329895
"I have received my recommendation, What is the difference between baseline and recommended retirement contributions?",Dreamplan Agent,Finance Agent,2.983285903930664
"I have received my recommendation, How do I know if I’m paying off the right debts first?",Dreamplan Agent,Finance Agent,4.080193519592285
"I have received my recommendation, How frequently does Dreamplan update its financial advice based on market conditions?",Dreamplan Agent,Finance Agent,7.170576333999634
"I have received my recommendation, Can I use Dreamplan’s advice if I’m planning early retirement?",Dreamplan Agent,Finance Agent,19.967927932739258
"I have received my recommendation, What role do spouse pensions play in overall retirement planning?",Dreamplan Agent,Finance Agent,10.545536994934082
"I have received my recommendation, How does Dreamplan factor in tax implications on retirement payouts?",Dreamplan Agent,Finance Agent,9.713085651397705
"I have received my recommendation, Why does Dreamplan suggest keeping some funds in cash for the next 3 years?",Dreamplan Agent,Dreamplan Agent,4.418220520019531
"I have received my recommendation, What are the potential downsides of following Dreamplan’s recommendations?",Dreamplan Agent,Finance Agent,2.559612989425659
"I have received my recommendation, How can I monitor the progress of my retirement savings with Dreamplan?",Dreamplan Agent,Finance Agent,8.910709381103516
"I have received my recommendation, What happens if my salary changes significantly before retirement?",Dreamplan Agent,Finance Agent,2.7637441158294678
"I have received my recommendation, Does Dreamplan consider social security or government pensions in its forecasts?",Dreamplan Agent,Finance Agent,5.530113697052002
"I have received my recommendation, How does Dreamplan recommend balancing pension savings with housing investments?",Dreamplan Agent,Finance Agent,5.835500478744507
"I have received my recommendation, What should I prioritize first: paying debt, saving emergency funds, or increasing retirement contributions?",Dreamplan Agent,Finance Agent,5.223587274551392
